Transaction_Amount,Transaction_Time,Customer_Age,Customer_Region,Merchant_Category,Card_Type,Transaction_Mode,Previous_Fraud_Flag,Fraud
783,1222.8,47,North,Electronics,Prepaid,POS,0,0
1252,211.7,22,South,Retail,Credit,Online,1,0
2746.6,804.8,41,South,Food,Credit,Online,1,0
3573.3,292,24,West,Retail,Debit,POS,0,0
3301.3,3115,51,North,Health,Prepaid,POS,0,0
1400.4,29,67,North,Retail,Debit,ATM,0,0
4774.4,222.8,59,South,Health,Debit,POS,0,1
3689.7,277.5,50,South,Electronics,Prepaid,ATM,0,0
2772.2,534.6,44,North,Food,Prepaid,Online,0,0
3059,264.9,31,North,Retail,Prepaid,ATM,0,0
2098.6,676,36,South,Electronics,Credit,POS,0,0
1239.4,2059.4,65,South,Electronics,Prepaid,ATM,0,0
1780.5,1245,68,West,Retail,Prepaid,ATM,0,0
3789.5,867.4,55,West,Travel,Debit,POS,0,0
73,93.2,29,North,Travel,Prepaid,ATM,0,0
581.2,1184.1,20,South,Health,Prepaid,Online,0,0
231,182,24,West,Electronics,Debit,ATM,0,0
204.6,1543.5,52,North,Food,Credit,POS,0,0
4277.4,287.8,42,West,Food,Prepaid,POS,0,0
3518.6,539.7,66,West,Electronics,Debit,POS,0,0
2371.4,431.5,32,West,Travel,Credit,ATM,0,0
490.1,1957.7,36,East,Electronics,Credit,Online,0,0
2458.6,135.3,36,North,Health,Prepaid,POS,0,0
2367.9,833.9,40,West,Electronics,Credit,POS,0,0
866.8,153.2,28,North,Retail,Prepaid,Online,0,1
2169.8,1220.1,38,North,Travel,Credit,POS,0,0
1993.1,2354.7,69,South,Retail,Credit,ATM,0,0
3079.6,570.2,51,North,Retail,Credit,POS,0,0
3175.8,669.6,56,West,Electronics,Prepaid,POS,0,0
227.5,2623.1,68,North,Electronics,Credit,ATM,0,0
1873.7,736,24,South,Food,Debit,Online,0,0
3129.7,668.6,59,East,Retail,Debit,Online,0,0
2516.2,863.5,61,East,Electronics,Credit,POS,0,0
4282.6,1168.7,44,South,Food,Prepaid,ATM,0,0
3293.8,113,67,West,Retail,Debit,ATM,0,0
815.5,1721,40,West,Food,Credit,Online,1,0
353.8,571.8,55,West,Travel,Debit,Online,0,0
3212.5,75.1,37,North,Health,Debit,Online,0,0
133.5,1542.6,44,East,Retail,Debit,ATM,0,0
2929.3,473.1,25,West,Electronics,Debit,ATM,0,0
4701.2,105.8,54,East,Travel,Debit,ATM,0,0
2877.8,1004.5,20,South,Food,Credit,POS,0,0
1941.5,2121.4,19,East,Health,Debit,POS,0,0
3216.8,2187.1,39,West,Retail,Credit,Online,0,0
2291.8,3162.1,23,East,Health,Debit,Online,0,0
2728.5,2022.7,56,South,Travel,Prepaid,POS,0,0
4707.4,2.1,57,East,Health,Credit,POS,0,0
1931.1,478.4,53,North,Retail,Prepaid,POS,0,0
4806,1706.7,61,South,Travel,Prepaid,POS,0,0
4526.8,456.1,41,North,Food,Debit,Online,0,0
979.8,920.2,29,North,Retail,Debit,POS,0,0
347.7,932.2,34,West,Health,Debit,POS,1,0
504.8,454.2,39,West,Retail,Debit,ATM,0,0
92.1,2348.4,36,South,Travel,Debit,Online,0,1
473.1,699.6,26,West,Health,Prepaid,Online,1,0
3415.4,625.1,29,East,Food,Prepaid,ATM,0,0
356.9,5997,49,South,Electronics,Debit,Online,0,0
1595.6,680.2,48,West,Food,Debit,Online,0,0
4224.5,196.5,34,West,Retail,Credit,POS,0,0
117.3,719.6,40,East,Electronics,Credit,POS,0,0
4072.5,1682.1,27,North,Travel,Prepaid,Online,0,1
1410,1500,47,East,Health,Prepaid,ATM,0,0
591.7,1553.9,36,North,Health,Prepaid,ATM,0,0
3484,1231.1,43,West,Travel,Debit,Online,0,0
3145.1,293.3,43,North,Retail,Prepaid,Online,0,1
4387.5,1981.1,28,North,Food,Prepaid,Online,0,0
3675.6,2239.1,37,West,Electronics,Prepaid,Online,0,0
4017.6,215.9,62,South,Travel,Credit,POS,0,0
1410.9,139.8,21,East,Retail,Prepaid,POS,0,0
888,3713.4,64,West,Retail,Prepaid,Online,1,0
3753.3,2027.4,29,East,Electronics,Credit,ATM,0,0
4034.4,2237.1,42,East,Travel,Prepaid,POS,0,0
4952.5,2174.9,27,North,Food,Debit,Online,0,0
2063.7,780.2,39,West,Food,Credit,ATM,0,0
1860.7,1039.6,24,South,Travel,Prepaid,POS,0,0
3882.3,788.3,41,East,Health,Credit,POS,0,0
1704.7,52.6,19,East,Food,Prepaid,Online,0,0
4653.9,1368.5,49,South,Health,Prepaid,ATM,0,0
4292.2,703.9,38,East,Travel,Credit,Online,0,0
2145.5,1043.3,24,West,Retail,Debit,POS,0,0
3754.6,698.4,25,South,Travel,Credit,ATM,1,0
3773,676.9,68,West,Retail,Debit,POS,0,0
516.5,188.5,55,South,Travel,Debit,Online,0,0
4512.9,326.7,38,East,Health,Credit,Online,0,0
2526.8,173,25,South,Health,Prepaid,POS,0,0
4132.5,217.7,42,West,Travel,Debit,Online,0,0
1600.9,3611.1,45,South,Retail,Credit,Online,0,0
4477.7,166.2,45,East,Travel,Prepaid,POS,0,0
1946.6,313.7,48,North,Retail,Prepaid,ATM,0,0
55.2,893,69,East,Health,Prepaid,POS,0,0
4527,942.1,53,East,Electronics,Credit,POS,0,0
457.3,167.2,42,North,Food,Credit,ATM,0,0
1597.2,1578.5,69,South,Health,Prepaid,Online,0,0
4750.4,1538.1,58,East,Travel,Prepaid,ATM,0,0
4753.1,270.9,54,North,Travel,Prepaid,POS,0,0
2867.6,340.6,55,West,Retail,Prepaid,ATM,0,0
3159.6,2780.4,68,North,Food,Credit,Online,0,0
2242.8,1746.8,29,East,Health,Prepaid,ATM,0,0
1466.8,1196.7,54,West,Food,Debit,ATM,0,0
1644,85.8,54,East,Food,Debit,POS,0,0
3362.9,541.7,48,North,Health,Credit,ATM,0,0
3762.1,819.4,35,West,Retail,Debit,POS,0,0
3958.1,207.5,43,East,Retail,Debit,Online,0,0
3948.3,594.6,23,North,Retail,Debit,ATM,0,0
456.9,918.9,26,West,Electronics,Credit,ATM,0,0
2472.6,396.6,28,East,Food,Debit,POS,0,0
288.7,1518.4,48,North,Electronics,Prepaid,POS,0,0
2748.1,1835.4,63,East,Retail,Debit,Online,0,0
2208.2,391,19,East,Health,Debit,POS,0,1
4438.6,1824.2,46,East,Food,Debit,POS,1,0
1755.2,109.3,63,South,Health,Prepaid,Online,0,0
586.2,1818.5,68,East,Travel,Credit,POS,0,0
715.8,165.8,59,West,Food,Credit,POS,0,0
3807.8,86.6,22,North,Health,Debit,POS,0,0
3091.5,1026.6,40,North,Retail,Prepaid,POS,0,0
506.5,638.5,53,South,Electronics,Debit,Online,0,0
421.4,2384.8,24,South,Health,Credit,Online,0,0
3505.1,451.3,30,South,Travel,Credit,POS,0,0
364.7,338.5,59,East,Retail,Prepaid,ATM,0,0
4109.5,694.6,27,East,Travel,Prepaid,Online,0,0
3531.5,608.7,53,West,Electronics,Credit,ATM,0,0
407.7,422.2,33,North,Travel,Credit,POS,0,0
425.1,1183.3,32,North,Health,Credit,POS,0,0
4933.2,1425.3,60,East,Health,Debit,Online,1,0
1872,1917.2,36,North,Retail,Credit,ATM,0,0
1853.8,3606.6,38,East,Electronics,Credit,Online,0,0
4064.2,310.1,52,South,Electronics,Prepaid,Online,1,0
4736.3,1259.1,32,East,Food,Credit,Online,0,0
4930,501.3,65,West,Food,Credit,POS,0,0
3767.1,1130.4,31,East,Health,Prepaid,ATM,0,0
1881.9,646.2,46,East,Travel,Credit,POS,0,0
418.4,5078.9,22,North,Travel,Prepaid,POS,0,0
3886,1305.3,66,East,Retail,Prepaid,POS,0,0
2792.5,3046.8,35,West,Electronics,Prepaid,Online,0,0
2121.7,1801.6,68,East,Health,Prepaid,POS,0,0
4531.9,2332,18,East,Travel,Prepaid,POS,0,0
556.9,1684.3,44,South,Food,Prepaid,POS,0,0
2463.6,614.6,44,East,Health,Prepaid,POS,0,0
57.8,290.1,42,East,Retail,Credit,POS,0,0
2343.8,462.5,58,East,Health,Debit,POS,0,0
282.5,20.4,38,West,Travel,Credit,ATM,0,0
595,742.3,31,North,Retail,Prepaid,Online,0,0
588.5,703.3,69,South,Food,Prepaid,POS,0,0
3246.4,745,37,South,Food,Credit,Online,0,0
3730.5,3650.9,45,East,Travel,Debit,ATM,0,0
2917.3,2424.2,38,East,Retail,Credit,ATM,0,0
4810.9,176.4,40,North,Food,Credit,Online,0,0
1875,460.3,28,East,Retail,Credit,ATM,0,0
1429.3,551.6,19,West,Health,Debit,POS,0,0
4343.1,447.1,37,North,Electronics,Prepaid,ATM,0,0
1118.8,1601.9,41,East,Electronics,Debit,POS,0,0
4816.1,742.4,42,North,Electronics,Credit,Online,0,0
61.8,848.9,54,South,Food,Credit,Online,0,0
4849.4,1917.4,39,East,Travel,Debit,Online,0,0
216.8,1639.5,41,North,Electronics,Debit,Online,0,0
4455.8,141.8,32,North,Travel,Prepaid,Online,0,0
2639,1251.5,29,East,Electronics,Prepaid,Online,0,0
4964.8,571.7,63,North,Health,Debit,POS,0,0
369.9,349.1,48,East,Electronics,Prepaid,Online,0,0
2769.7,51.3,60,East,Travel,Credit,ATM,0,0
4846.5,668,48,West,Food,Debit,POS,0,0
2616,439.2,47,West,Health,Prepaid,POS,0,0
3147.4,289.7,58,North,Travel,Credit,POS,0,0
3479,1186.4,37,North,Retail,Debit,POS,0,0
2273.3,1467.4,25,North,Electronics,Prepaid,Online,0,0
3138.2,280.8,61,South,Health,Credit,Online,0,0
2922,50.7,47,East,Food,Debit,Online,1,0
4505.9,1888.8,52,East,Retail,Prepaid,ATM,0,0
